Manager,Total Points,Average Pick,Picks Entered
Bakron,573.02,17.91,32
Peltron3030,551.04,17.22,32
Bootz,523.16,16.35,32
dudekids,520.94,16.28,32
christhrowsrocks,519.92,16.25,32
tc216997,515.72,16.12,32
elementsoul,513.96,16.06,32
Moose,508.52,15.89,32
Kieran563,502.64,15.71,32
Templare1,496.72,15.52,32
Herbal,486.98,15.22,32
Madmike,485.72,17.35,28
Kingships,480.84,16.03,30
tanay002,444.18,14.81,30
FoolsTP,441.72,14.72,30
Noro,427.1,13.35,32
Apatel78,420.66,16.18,26
FooL,416.02,14.86,28
Chandlerbing310,379.04,12.63,30
ikyn,313.68,14.26,22
Spaniard,313.6,17.42,18
DUME,270.8,15.04,18
Brando,269.42,16.84,16
Smashadams83,170.5,14.21,12
Jnmaniac1,167.56,16.76,10
Klay,144.14,18.02,8
ListEm,133.2,13.32,10
jizzmonkey69,128.06,14.23,9
Benzo,99.56,16.59,6
verticle,81.58,13.60,6
Code Monkey,79.96,13.33,6
hlve,70.1,17.53,4
Rob,48.24,12.06,4
Tre Duce,39.1,19.55,2
tylerj03#0012,37.18,18.59,2
Ender,36.66,18.33,2
Eddie127,28.38,14.19,2
Karan,25.32,12.66,2
